"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\AGENTS.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\README.md", "Markdown", 49, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\api\subscribe\route.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\blog\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 5, 58
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 3, 54
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 5, 68
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\faq\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 4, 77
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 214, 24, 36, 274
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 3, 55
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\legal\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\legal\refund\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 39
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\legal\terms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 3, 45
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 11, 60
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\premium\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\shop\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 4, 41
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\tools\test-data-generator\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 3, 47
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\app\work\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 0, 6, 107
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\ContactCTA.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 7, 43
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\CtaBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\CustomCursor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 10, 46
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\EmailCapture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 0, 6, 91
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\ExperienceTimeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 12, 83
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 3, 11, 79
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 98, 0, 0, 7, 17, 122
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\HeroScene.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 5, 12, 72
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\LegalLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 33
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\Magnetic.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 10, 38
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 3, 8, 64
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\ProjectsGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 103, 0, 0, 11, 21, 135
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\QADashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 3, 10, 62
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\QAToolkit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 137, 0, 0, 1, 13, 151
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\Reveal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 8, 42
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\ScrollProgress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 8, 32
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\SeleniumTerminal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 10, 59
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\ShopClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 0, 7, 138
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\ShopPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 54
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\Spotlight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 34
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\TestDataGenerator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 0, 12, 134
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\Testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 3, 51
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 7, 38
"c:\Users\nikhi\Downloads\nikhil-qa-portfolio\components\TiltCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 10, 74
